class_start_time,class_end_time,class_room,class_status,course_id
2018-04-03 14:00:00,2018-04-03 15:00:00,B457,1,5
2018-04-03 16:00:00,2018-04-03 18:00:00,B232,1,4
2018-04-04 08:00:00,2018-04-04 10:00:00,P126A,1,2
2018-04-04 10:00:00,2018-04-04 11:00:00,C144,1,3
2018-04-06 16:00:00,2018-04-06 18:00:00,C144,1,1
2018-04-03 09:00:00,2018-04-03 12:00:00,T324,1,99999
2018-04-06 09:00:00,2018-04-06 12:00:00,T324,1,99999
2018-04-10 14:00:00,2018-04-10 15:00:00,B457,1,5
2018-04-10 16:00:00,2018-04-10 18:00:00,B232,1,4
2018-04-11 08:00:00,2018-04-11 10:00:00,P126A,1,2
2018-04-11 10:00:00,2018-04-11 11:00:00,C144,1,3
2018-04-13 16:00:00,2018-04-13 18:00:00,C144,1,1
2018-04-10 09:00:00,2018-04-10 12:00:00,T324,1,99999
2018-04-13 09:00:00,2018-04-13 12:00:00,T324,1,99999
2018-04-17 14:00:00,2018-04-17 15:00:00,B457,1,5
2018-04-17 16:00:00,2018-04-17 18:00:00,B232,1,4
2018-04-18 08:00:00,2018-04-18 10:00:00,P126A,1,2
2018-04-18 10:00:00,2018-04-18 11:00:00,C144,1,3
2018-04-20 16:00:00,2018-04-20 18:00:00,C144,1,1
2018-04-17 09:00:00,2018-04-17 12:00:00,T324,1,99999
2018-04-20 09:00:00,2018-04-20 12:00:00,T324,1,99999
2018-04-24 14:00:00,2018-04-24 15:00:00,B457,1,5
2018-04-24 16:00:00,2018-04-24 18:00:00,B232,1,4
2018-04-25 08:00:00,2018-04-25 10:00:00,P126A,1,2
2018-04-25 10:00:00,2018-04-25 11:00:00,C144,1,3
2018-04-27 16:00:00,2018-04-27 18:00:00,C144,1,1
2018-04-24 09:00:00,2018-04-24 12:00:00,T324,1,99999
2018-04-27 09:00:00,2018-04-27 12:00:00,T324,1,99999
2018-04-06 14:00:00,2018-04-06 16:00:00,B328,1,6
2018-04-09 14:00:00,2018-04-09 16:00:00,C144,1,7
2018-04-06 11:00:00,2018-04-06 13:00:00,T324,1,999997
2018-04-06 10:00:00,2018-04-06 11:30:00,T324,1,999998
2018-04-13 13:00:00,2018-04-13 14:30:00,T324,1,999997
2018-04-11 13:00:00,2018-04-11 14:30:00,T324,1,999998
